1977	7	520
1977	8	0
1977	9	164
1977	10	67
1977	11	44
1977	12	0
1978	1	0
1978	2	0
1978	3	0
1978	4	0
1978	5	385
1978	6	713
1978	7	332
1978	8	336
1978	9	441
1978	10	164
1978	11	2
1978	12	0
1979	1	0
1979	2	2
1979	3	0
1979	4	61
1979	5	172
1979	6	519
1979	7	0
1979	8	605
1979	9	355
1979	10	63
1979	11	81
1979	12	36
1980	1	10
1980	2	76
1980	3	90
1980	4	41
1980	5	0
1980	6	435
1980	7	997
1980	8	0
1980	9	249
1980	10	279
1980	11	0
1980	12	0
1981	1	0
1981	2	0
1981	3	0
1981	4	230
1981	5	344
1981	6	337
1981	7	262
1981	8	447
1981	9	371
1981	10	42
1981	11	24
1981	12	0
1982	1	0
1982	2	71
1982	3	0
1982	4	84
1982	5	103
1982	6	308
1982	7	229
1982	8	306
1982	9	299
1982	10	45
1982	11	7
1982	12	0
1983	1	0
1983	2	39
1983	3	101
1983	4	195
1983	5	441
1983	6	259
1983	7	498
1983	8	753
1983	9	199
1983	10	275
1983	11	166
1983	12	37
1984	1	13
1984	2	0
1984	3	0
1984	4	45
1984	5	625
1984	6	449
1984	7	345
1984	8	371
1984	9	200
1984	10	82
1984	11	0
1984	12	1
1985	1	1
1985	2	0
1985	3	56
1985	4	35
1985	5	183
1985	6	413
1985	7	506
1985	8	422
1985	9	103
1985	10	35
1985	11	93
1985	12	6
1986	1	0
1986	2	0
1986	3	0
1986	4	208
1986	5	109
1986	6	341
1986	7	782
1986	8	469
1986	9	283
1986	10	115
1986	11	142
1986	12	0
1987	1	3
1987	2	36
1987	3	96
1987	4	394
1987	5	36
1987	6	0
1987	7	630
1987	8	681
1987	9	435
1987	10	40
1987	11	100
1987	12	14
1988	1	0
1988	2	15
1988	3	49
1988	4	160
1988	5	506
1988	6	709
1988	7	430
1988	8	567
1988	9	222
1988	10	185
1988	11	23
1988	12	17
1989	1	0
1989	2	11
1989	3	0
1989	4	241
1989	5	163
1989	6	210
1989	7	821
1989	8	175
1989	9	413
1989	10	563
1989	11	40
1989	12	0
1990	1	0
1990	2	22
1990	3	108
1990	4	269
1990	5	164
1990	6	374
1990	7	645
1990	8	123
1990	9	197
1990	10	129
1990	11	91
1990	12	54
1991	1	9
1991	2	5
1991	3	19
1991	4	174
1991	5	578
1991	6	618
1991	7	474
1991	8	606
1991	9	335
1991	10	103
1991	11	88
1991	12	14
1992	1	0
1992	2	93
1992	3	4
1992	4	31
1992	5	137
1992	6	428
1992	7	341
1992	8	239
1992	9	274
1992	10	154
1992	11	12
1992	12	15
1993	1	0
1993	2	151
1993	3	201
1993	4	139
1993	5	475
1993	6	784
1993	7	959
1993	8	730
1993	9	278
1993	10	152
1993	11	9
1993	12	0
1994	1	5
1994	2	6
1994	3	153
1994	4	207
1994	5	96
1994	6	243
1994	7	316
1994	8	266
1994	9	198
1994	10	109
1994	11	12
1994	12	0
1995	1	1
1995	2	7
1995	3	27
1995	4	44
1995	5	490
1995	6	339
1995	7	607
1995	8	351
1995	9	171
1995	10	146
1995	11	220
1995	12	0
1996	1	10
1996	2	17
1996	3	251
1996	4	87
1996	5	440
1996	6	455
1996	7	479
1996	8	437
1996	9	379
1996	10	246
1996	11	72
1996	12	4
1997	1	1
1997	2	14
1997	3	251
1997	4	33
1997	5	209
1997	6	508
1997	7	657
1997	8	481
1997	9	443
1997	10	134
1997	11	19
1997	12	15
1998	1	21
1998	2	79
1998	3	137
1998	4	157
1998	5	658
1998	6	294
1998	7	977
1998	8	485
1998	9	287
1998	10	102
1998	11	19
1998	12	0
1999	1	0
1999	2	0
1999	3	3
1999	4	0
1999	5	379
1999	6	1117
1999	7	590
1999	8	474
1999	9	201
1999	10	149
1999	11	3
1999	12	115
2000	1	41
2000	2	1
2000	3	112
2000	4	210
2000	5	698
2000	6	565
2000	7	212
2000	8	542
2000	9	162
2000	10	346
2000	11	45
2000	12	0
2001	1	0
2001	2	9
2001	3	20
2001	4	15
2001	5	291
2001	6	580
2001	7	388
2001	8	280
2001	9	208
2001	10	180
2001	11	95
2001	12	0
2002	1	9
2002	2	0
2002	3	42
2002	4	74
2002	5	553
2002	6	299
2002	7	809
2002	8	465
2002	9	353
2002	10	79
2002	11	101
2002	12	0
2003	1	0
2003	2	1
2003	3	62
2003	4	56
2003	5	273
2003	6	1091
2003	7	251
2003	8	240
2003	9	348
2003	10	93
2003	11	9
2003	12	50
2004	1	0
2004	2	0
2004	3	8
2004	4	170
2004	5	116
2004	6	843
2004	7	1086
2004	8	217
2004	9	491
2004	10	182
2004	11	0
2004	12	0
2005	1	2
2005	2	0
2005	3	74
2005	4	199
2005	5	238
2005	6	203
2005	7	264
2005	8	636
2005	9	332
2005	10	116
2005	11	53
2005	12	7
2006	1	0
2006	2	0
2006	3	9
2006	4	27
2006	5	703
2006	6	316
2006	7	561
2006	8	281
2006	9	307
2006	10	93
2006	11	19
2006	12	0
2007	1	4
2007	2	54
2007	3	32
2007	4	168
2007	5	280
2007	6	599
2007	7	709
2007	8	268
2007	9	545
2007	10	336
2007	11	81
2007	12	0
2008	1	49
2008	2	6
2008	3	5
2008	4	2
2008	5	186
2008	6	310
2008	7	385
2008	8	400
2008	9	240
2008	10	172
2008	11	25
2008	12	0
2009	1	0
2009	2	0
2009	3	20
2009	4	42
2009	5	269
2009	6	401
2009	7	531
2009	8	476
2009	9	269
2009	10	338
2009	11	49
2009	12	0
2010	1	0
2010	2	9
2010	3	176
2010	4	57
2010	5	475
2010	6	605
2010	7	323
2010	8	475
2010	9	194
2010	10	269
2010	11	45
2010	12	17
2011	1	1
2011	2	1
2011	3	56
2011	4	71
2011	5	184
2011	6	558
2011	7	526
2011	8	482
2011	9	419
2011	10	63
2011	11	0
2011	12	0
2012	1	0
2012	2	15
2012	3	76
2012	4	289
2012	5	213
2012	6	833
2012	7	464
2012	8	292
2012	9	275
2012	10	337
2012	11	23
2012	12	0
2013	1	0
2013	2	2
2013	3	2
2013	4	83
2013	5	438
2013	6	294
2013	7	264
2013	8	241
2013	9	428
2013	10	198
2013	11	0
2013	12	0
2014	1	0
2014	2	23
2014	3	17
2014	4	1
2014	5	355
2014	6	594
2014	7	164
2014	8	291
2014	9	316
2014	10	152
2014	11	10
2014	12	0
2015	1	0
2015	2	0
2015	3	56
2015	4	252
2015	5	113
2015	6	562
2015	7	1105
2015	8	693
2015	9	358
2015	10	192
2015	11	9
2015	12	2
2016	1	3
2016	2	85
2016	3	53
2016	4	27
2016	5	289
2016	6	510
2016	7	495
2016	8	353
2016	9	377
2016	10	138
2016	11	120
2016	12	0
2017	1	0
2017	2	0
2017	3	108
2017	4	388
2017	5	191
2017	6	1186
2017	7	678
2017	8	639
2017	9	421
2017	10	157
2017	11	18
2017	12	30
